column,missing_count,missing_pct
currency,121,40.74
product_name,39,13.13
brand,18,6.06
retail_price,18,6.06
retail_price_raw,18,6.06
publish_date,0,0.0
source_file,0,0.0
source_url,0,0.0
title,0,0.0
modified_date,0,0.0
tags,0,0.0
author,0,0.0
product_category,0,0.0
product_subcategory,0,0.0
review_type,0,0.0
article_text_length,0,0.0
article_text,0,0.0
article_word_count,0,0.0
title_length,0,0.0
title_word_count,0,0.0
avg_word_length,0,0.0
publish_year,0,0.0
publish_month,0,0.0
has_price,0,0.0
has_product_name,0,0.0
