feature,coefficient,absolute_coefficient,associated_class
instinct,-0.059740418201510916,0.059740418201510916,Not Positive
clamp,-0.053683830511256456,0.053683830511256456,Not Positive
tread,-0.04678944099801838,0.04678944099801838,Not Positive
trickstuff,-0.04455651295310777,0.04455651295310777,Not Positive
field,-0.04366868953806833,0.04366868953806833,Not Positive
edp01,-0.04358343761146042,0.04358343761146042,Not Positive
damage,-0.04272003213125886,0.04272003213125886,Not Positive
wanting,-0.039306022571340644,0.039306022571340644,Not Positive
maybe,-0.03893238088853453,0.03893238088853453,Not Positive
soft,-0.03836381532801499,0.03836381532801499,Not Positive
jackets,-0.03802769147844094,0.03802769147844094,Not Positive
seb,-0.037947495097540196,0.037947495097540196,Not Positive
master,-0.037397010951779566,0.037397010951779566,Not Positive
atb,-0.0372590451445711,0.0372590451445711,Not Positive
production,-0.03699538897185047,0.03699538897185047,Not Positive
valve,-0.03655731959006401,0.03655731959006401,Not Positive
opinion,-0.03621261764026462,0.03621261764026462,Not Positive
magnet,-0.03568608975101596,0.03568608975101596,Not Positive
scorpion,-0.03560031542588401,0.03560031542588401,Not Positive
limited,-0.03503415797412868,0.03503415797412868,Not Positive
